X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
790;408;0.4119051;0.3786925;0.2780444;0.4896138;763.6;0.2551646;False;12/21/2025 10:50:55 PM:38;1766332255038;;
791;204;0.4124078;0.1895639;0.4188159;0.02833828;751.8;0.2494629;False;12/21/2025 10:50:55 PM:232;1766332255232;;
830;133;0.4324435;0.1237134;0.4679466;0.03819941;745.9;0.2227167;False;12/21/2025 10:50:56 PM:142;1766332256142;;
837;130;0.4362548;0.1211952;0.4969158;0.02926303;740.6;0.2200529;False;12/21/2025 10:50:56 PM:168;1766332256168;;
843;129;0.4393838;0.1194884;0.4962846;0.03385982;735.8;0.2201192;False;12/21/2025 10:50:56 PM:194;1766332256194;;
872;176;0.4545151;0.1634279;0.5107205;0.2301917;727.9;0.2372279;False;12/21/2025 10:50:56 PM:382;1766332256382;;
877;176;0.4567743;0.1634011;0.5140946;0.1614491;720.8;0.2367731;False;12/21/2025 10:50:56 PM:409;1766332256409;;
880;176;0.4586625;0.1633782;0.5140965;0.1614414;714.4;0.2367753;False;12/21/2025 10:50:56 PM:436;1766332256436;;
912;177;0.4753699;0.1645089;0.5432779;0.178274;712.8;0.2597953;False;12/21/2025 10:50:56 PM:566;1766332256566;;
919;164;0.4790809;0.1518711;0.5490817;0.04302644;711.4;0.2594951;False;12/21/2025 10:50:56 PM:592;1766332256592;;
